Trans. #,Bag,Blush,Nail Polish,Brushes,Concealer,Eyebrow Pencils,Bronzer,Lip liner,Mascara,Eye shadow,Foundation,Lip Gloss,Lipstick,Eyeliner
483,,,,,,,T,T,,,,,T,
484,,,,,,,,,,,T,T,,
485,,,,,,,,,,,T,T,,T
486,,,,,T,,,,,,T,T,T,T
487,,,,,T,,,T,,,,T,T,T
488,,T,T,,,,,,T,T,T,T,,T
489,,,,,T,,,,,,,,T,T
490,,,,,,,,,,,,,T,
491,,,,,,T,,,,,T,T,T,
492,,T,,,T,T,,T,T,T,,,T,
493,,T,,,T,,T,T,,,,,T,T
494,,T,,,T,,,,,,,,T,T
495,,,,,,,,,,,T,,T,
496,,T,T,,,,,,,,T,T,T,T
497,,T,T,T,T,,T,,T,T,T,,T,T
498,,T,T,T,,,,,T,T,,,T,T
499,,,,,,,,,,,T,T,,
500,,,,,T,,T,T,,,,,,
501,,,,,,,,T,,,T,,,
502,T,T,T,T,,,,,T,T,T,,,
503,,,,,T,,,,,T,T,T,T,T
504,,,T,T,T,,T,,T,T,,T,,
505,,,,,,,,,,,,,,
506,,,,,,,,,,,T,,,
507,,T,,,T,,,,T,T,T,,,
508,,T,T,T,,,,,T,T,,,T,
509,,,,,,,,,T,T,T,T,T,
510,,T,,,T,,T,T,,,,T,T,T
511,,,,,,,,,,,T,T,T,
512,,,,,,,,,,,,,,
513,,,,,,,T,,,,T,,T,
514,,T,,,,,,,,,T,T,,
515,,,,,,,,,,,,,,T
516,,,,,T,,,,,,T,T,,
517,,,,,T,,T,,,,T,,,T
518,,,,,T,,T,T,,,,,T,T
519,,,T,,,,T,,,T,T,,,
520,,T,,,T,,,T,T,,,T,,
521,,,,,T,,,T,,,T,,,
522,,,,,T,,,T,,,T,,,T
523,,T,,,T,,,,,,T,,T,T
524,,,T,T,,,,,,,T,T,,
525,,T,,,,,,,,,,,,
526,,,,,,,,,T,T,T,T,,
527,,T,T,,T,,,,T,T,T,T,,
528,,T,,,T,,,T,T,T,,,,T
529,,,T,,T,,T,,,,,T,,T
530,,,T,,T,,,,,,,,T,T
531,,,T,T,T,,,,T,T,,,,
532,,T,,,T,,T,,,,,T,T,T
533,T,T,T,T,T,,T,T,T,T,,,,
534,,,,,,,,,T,T,T,T,,
535,,,T,T,,,,,,,T,T,T,
536,,T,T,T,,,,,T,T,T,T,T,T
537,,T,,,,,,,T,T,,,,
538,,T,,,,,,,T,T,,,T,
539,,T,,,T,,T,,T,T,,T,,
540,,,,,T,,T,T,T,T,,,,T
541,,,,,,,,,,,,,,
542,,T,,,T,,,,,,T,T,,T
543,,,,,,,,,,,T,,,
544,,,,,T,,,,,,T,T,,T
545,,,,,,,,,,,T,T,,
546,,,,,,,T,,,,T,,T,
547,,T,,,,,,,,,T,T,T,
548,,T,,,T,,,T,,,T,,T,
549,,,,,,,,,T,T,T,T,T,
550,,T,,,T,,,T,T,T,T,,,
551,,T,T,,,,T,,T,T,,T,T,
552,,,T,,T,,,,,,T,T,,T
553,,T,T,,T,,,T,T,T,T,,,T
554,,T,,,,,,,,,,,T,T
555,,,,,T,,,,,,T,T,T,T
556,,T,,,T,,,T,T,T,,T,T,T
557,,,,,,,,,,,,,,
558,,T,,,,,,,T,T,,,T,T
559,,,,,T,,T,,,,,T,,T
560,,T,,,T,,,,T,T,,,,T
561,T,T,,,T,,,,,,T,,,
562,,,,,,,,,,T,T,T,T,
563,,,,,,,,,,,T,T,T,
564,,T,,,T,,,T,,,T,,T,
565,,,,,T,,,,T,T,T,T,T,
566,,T,T,T,T,,T,T,T,T,,,,T
567,,,,,T,,,,,,T,,,T
568,,T,,,,,T,,T,T,T,,,
569,,T,T,,T,,,T,T,T,,,T,
570,,,,,,,,,T,T,T,,,
571,,,,,T,,,,,,T,,,T
572,,T,,,,,,,,,T,T,,
573,T,,T,T,T,,,,,,T,T,T,T
574,,,,,,,T,,,,,T,,T
575,,,,,T,,,,,,,,T,T
576,,,,,,,,,,,T,T,,
577,,,,,T,,,T,,T,,T,,
578,,,T,,,,,,,,T,T,,
579,,,,,,,,,,,T,T,,T
580,,,T,T,T,,,T,,T,,T,,T
581,,,,,T,,T,,,T,T,,,T
582,,,T,,,,,,,,,,,
583,,T,,,,,,,,,T,T,T,
584,,,,,,,,,,,T,T,T,
585,,,,,,,,,,,T,T,T,
586,,T,,,,,,,T,T,T,T,,
587,,,,,,,,,,,T,T,T,T
588,,,,,T,,,,,,,,,
589,,,,,,,,T,,,,T,T,
590,,T,T,,T,,,,,,,,,T
591,,,,,T,T,,,,,T,T,,
592,,T,,,,,,,T,T,,,,T
593,,,,,T,,,,T,T,,,,T
594,,,,,,,,,,,T,,T,T
595,,,,,T,,,,,,T,,T,T
596,,T,,,,,,,,T,T,T,T,
597,T,T,T,T,T,T,T,T,T,T,,,T,T
598,,T,T,T,,,,,,,T,T,T,
599,,,,,,,,,,,,,,
600,,,,,,,T,,,,,T,T,
601,,,,,,,,,,,,,,
602,,,T,,,,,,T,T,T,T,T,T
603,,T,T,,,,,,T,T,T,T,,
604,,,T,,,,,,,T,T,T,T,
605,,,,,T,,,,,,,,,T
606,,,,,T,,,,,,,,,T
607,,,,,,,,,T,T,T,T,T,
608,,T,T,T,T,,T,T,,,,T,,T
609,,T,,,T,,,,,,,,,
610,,T,,,T,T,,,T,T,,,,
611,T,T,T,,,,,T,,,T,,,
612,,,,,T,,T,T,T,,,,,T
613,T,T,,,,,,,T,,T,T,T,
614,,T,T,,,,,,,,T,T,,
615,,,,,,,,,,,T,T,,T
616,,T,,,,,,T,,,,,,
617,,,,,,,,,,,,,T,T
618,,,,,,T,,,T,T,,,T,
619,,T,,,,T,,,,,,,,T
620,,,,,,,,T,,,,T,,
621,T,,,,T,,T,T,T,T,T,T,T,
622,,,,,,,,,,,,,,
623,,,,,,,,,T,T,T,T,T,
624,,,,,T,,,,,,T,T,,T
625,T,T,,,T,,,T,,,,T,,
626,,,,,,,,,,,T,,T,T
627,,T,,,T,,,,T,T,,,,T
628,,,,,,T,,,,,,,,
629,,,,,,,,,T,,T,T,,T
630,,,,,,,,,,,T,T,T,
631,,,,,,,T,,,,T,T,,T
632,,,,,,,,,,,,,T,
633,,T,T,,T,,T,T,T,T,,,,
634,,T,,,,,,,T,T,,,,
635,,,T,T,T,,,,,T,T,T,T,T
636,,,,,T,,,,T,T,,,,T
637,,T,,,,,,,,,,,T,
638,,T,,,,,,,,T,T,T,,
639,,,,,,,,,T,T,T,,,T
640,,T,T,,,,,,,,,,,
641,,T,,,T,,T,,T,T,T,,,
642,,,T,,T,,,,,,T,T,,
643,,,,,,,,,,,T,T,T,
644,,T,,,,,,,T,T,,,,T
645,,,,,,,,,T,T,T,T,,
646,,T,T,T,,T,T,,T,T,,T,T,T
647,,,,,,,,,T,T,T,T,,
648,,,,,,,,,,,T,,,
649,,T,T,,T,,T,,T,T,T,,,T
650,,,T,,,,,,,,T,T,T,
651,,T,,,T,,T,,T,T,,T,,T
652,,,,,T,,,,,,T,T,,T
653,,,,,,,,,T,T,,,,
654,,,,,,,,,,,,,,T
655,,,,,,,,,,,,,,T
656,,,T,,,,,,,,T,T,,
657,,T,,,,,,,T,T,,,T,
658,,T,,,T,,T,T,,,T,T,T,T
659,,,,,T,,,,,,T,,,T
660,,,,,,,,,,,T,T,,
661,,,,,,,,,,,T,T,,
662,,,T,,,,,,,,T,T,,
663,,T,,,T,,T,,,,,T,,T
664,,,,,,,,,,,,,,
665,,T,T,,T,,,,,,,,,T
666,,,,,,,,,,,,,,
667,,T,,,T,,,,T,T,,,,T
668,,,,,,,,,T,T,T,T,,T
669,,T,,,T,,T,T,,,T,T,,T
670,,T,,,T,,,,,,T,,,
671,,,,,,,,,,,T,T,,
672,,,T,,T,,,,T,T,,,T,T
673,,,,,,,,,T,T,T,,,
674,,,,,,,,,,,,,,
675,,,,,,,,,,,,,T,
676,,,T,,,,,,,,,,,
677,,,,,,,,,,,,,,
678,,,,,,,,,,,,,,
679,,,,,,,,,,,,,,
680,,,,,,,,,,,T,T,T,
681,,T,,,,,,,,,,,T,
682,,,,,T,,T,,T,T,T,,,
683,,,,,,,,,,,,,,T
684,,T,,,T,,,,,,,,T,
685,,,,,,,,,,,,,,T
686,,,,,,,T,,,T,T,,,T
687,,,,,,,,,,,,,,T
688,,,,,T,,,,T,,T,T,,T
689,,,,,T,,,T,,,,T,,
690,,T,,,,,,,,,,,,
691,,T,,,,,,,,,T,T,,
692,,T,,,,,,,,,,,,T
693,,,,,,,,,T,T,,,,T
694,,,,,T,,T,,,,,T,,T
695,,,,,,,,,,,T,,T,
696,,,,,,,,,,,T,T,T,T
697,,,,,,,T,T,T,T,,T,T,
698,,,T,,T,,,,,,T,T,,T
699,,,,,,,T,,,,T,,,T
700,,,,,,,,,,,,,T,
701,,,,,,,,,T,T,T,,,T
702,,,,,T,,,T,,,T,,,T
703,,T,T,,T,,,,T,,T,T,,T
704,,,,,T,,,,,,T,T,,T
705,T,T,,,T,T,,,T,T,T,,T,T
706,,,,,,,,,,,,,,
707,,T,,,,,,,,,T,T,,
708,,,T,,,,,,T,T,T,T,,
709,,,,,,,,,,,,,,
710,,,,,,,,,,,,,,
711,,,T,,,,,,,,T,T,T,T
712,,T,,,T,,,T,,,,T,,T
713,,,,,,,,,,,,,,
714,,,,,T,,,T,,,,T,T,T
715,,,,,,,,,,,T,T,,T
716,,,,,,,,,,,T,T,,T
717,,,T,,,,,,T,T,,,,T
718,,,,,,,,,,,T,T,T,T
719,,,,,T,,,,,,,,T,T
720,,,,,,,,,,,T,T,,T
721,,,,,T,,,,,,,,,T
722,,,,,,,,,,,T,T,,
723,,T,,,,,,,,,T,T,,
724,,T,,,,,,,T,T,T,T,T,
725,,,,,,,,,,,T,,,T
726,,,,,T,,,,,T,T,T,T,T
727,T,T,T,,T,,T,,T,T,T,T,T,T
728,,T,,,,,,,T,T,T,,T,
729,,,T,,,,,,,,,,,
730,,,,,,,,,,,T,T,,T
731,,,,,,,,,,,T,,,
732,,,T,,,,,,,,,,,
733,,,,,,,,,T,T,T,T,T,
734,,,,,,,T,,,T,T,,,T
735,,,,,,,,,,,,,,
736,,,,,,,,,,T,T,T,T,
737,,,,,,,,,,,T,T,,
738,,T,,,,,,,,,T,T,T,
739,,,,,,,T,,,,,T,T,
740,,,T,T,,,T,,T,,T,,T,T
741,,,T,T,,,,,,,T,T,,
742,,,T,T,T,,T,,,,T,T,,
743,T,,T,,,,,,T,T,T,T,,
744,,T,,,,,,,T,T,T,,,
745,,,T,,,,,,,,,,,
746,,T,,,T,,,,T,,T,T,,T
747,,,,,,,,,,,,,,
748,,,,,,,,,,,,,,
749,,,,,,,T,,T,T,T,,,T
750,,,,,,,,,,,,,,
751,,,,,,,,,,,T,T,,
752,,,,,T,,,T,,,T,,,T
753,,,,,,,,,,T,T,T,,
754,,T,T,,,,,,T,T,T,T,,
755,,,,,,,,,,,,,T,T
756,,,,,,,,,,,,,,
757,,T,,,,,,,,,T,T,,
758,T,,,,,T,,,,,,,,T
759,,T,T,T,,,T,,T,T,T,,T,
760,,T,,,,,,T,,,T,,,
761,,T,,,T,,,T,T,T,,T,,T
762,,T,,,T,T,,T,T,T,,,T,T
763,,,,,,,,,,,T,T,,
764,,,,,,,,,,,,,,
765,,,,,,,,,,,,,,
766,T,,T,T,,,,,,,T,,,
767,,,T,T,T,,,T,,,,T,,T
768,,T,,,,,,,,,,,,
769,,,,,,T,,,T,T,,,T,
770,,T,,,,,,T,T,T,T,,,
771,,,,,,,,,,,,,,
772,,,,,,,,T,,,,T,,
773,,T,,,T,,T,,T,,T,,,
774,,,,,,,,,,,,,,
775,,,T,,T,,,T,T,,,T,,T
776,,,,,,,,,,,,,T,T
777,,,T,,,,,,,,,,,
778,,T,,,T,,,T,,,,T,,T
779,,,,,,,,,,,,,,T
780,,T,,,,,,,,,T,T,T,
781,,,,,,,,,T,T,,,,T
782,,,,,,,T,T,,,,,,
783,,,,,,,,,T,,T,T,,
784,,T,T,,T,,,T,,,,T,,
785,,,,,,,,,,,T,,,
786,,,,,,,,,T,T,,,,
787,,T,,,T,,,,T,T,,,,
788,,T,,,T,,,,,,T,T,,T
789,,T,T,,,,T,,T,T,,T,,
790,,,,,,,,,T,T,,,T,T
791,,,,,,,,,,T,T,T,,
792,,,,,,,,,,,T,T,,
793,,,,,,,,T,,T,,T,,
794,,,T,,,,,,,,T,T,,T
795,,,,,T,,T,T,T,T,,,,
796,,,T,,,,,,,,T,T,,
797,,,,,T,,,,T,T,,,T,T
798,,T,,,,,,,,,,,,
799,,T,,,,,,,,,T,T,T,T
800,,T,,,,,T,T,,T,,,,
801,,,,,T,,,,,,,,,
802,,,,,,,,,,,,,,T
803,,,,,T,,,,,,,,T,T
804,,T,,,T,,,T,,,T,,,T
805,,,,,,,,,,,T,T,,
806,,T,,,,,,T,,,,T,,
807,,,,,,,,,,,T,T,,
808,,,,,,,,,,,,,,
809,,,,,,,,,,,T,T,T,
810,,,,,,,,,,,T,,,
811,,,,,,,T,,,,,T,,T
812,,,,,,,,,T,T,,,,T
813,,T,T,,,,,,,,,,,
814,,,,,,,,,T,T,T,T,,
815,,,,,T,,,,T,T,T,T,T,
816,,,,,,,,,T,T,,,T,T
817,,,,,,,,,,T,T,T,,T
818,,,T,,,,,,,,T,T,T,T
819,,,,,T,,,,,,T,T,,T
820,,,,,T,,,,T,T,T,T,,T
821,,,,,T,,,,T,T,,,T,T
822,,,,,,,,,,,T,,,
823,,T,,,,,,,T,T,T,T,,T
824,,,T,,T,,,,,,T,,T,T
825,T,,T,T,,,,,T,T,,,,
826,,T,T,T,,,,,,,T,T,,T
827,,,,,,,,,,,,,,
828,,,T,,T,,,,,,T,T,,
829,,,,,,,,,,,T,,,
830,,T,,,T,,,T,,,T,,T,T
831,,,,,T,,T,T,,,T,T,,T
832,,,,,,,T,,,,T,,,
833,,,,,T,,,,,,,,T,T
834,,,T,,,,,,,,,,,T
835,,T,T,,T,,,,T,T,T,,,
836,,T,,,,,,,,,T,T,,
837,,T,,,,T,T,,,,,T,T,
838,,,,,,,,,T,T,T,T,T,T
839,,T,,,T,,T,T,T,T,T,T,,
840,,,,,T,,,T,,,T,,,T
841,,T,T,,T,,,,,,T,T,,T
842,,,,,T,,,,,,T,,,
843,,T,,,T,,,T,,T,,T,T,T
844,,,,,,,,,,,T,T,T,
845,,,T,,T,,,,,,T,T,,T
846,,T,T,,,,,,,,,,,T
847,,,,,,,,,,,,,,
848,,T,T,,T,,,,T,T,T,T,,T
849,,,,,T,,,,,,,,,
850,,T,T,,T,,,,T,,T,T,,
851,,,,,T,,,,,,T,T,,T
852,,,,,,,,,,,,,T,
853,,,T,T,,,,,T,,T,T,,
854,,,,,,,,,T,T,T,T,,
855,,T,,,,,,,,,,,,
856,,,,,T,,,,,,T,T,T,T
857,,T,,,,T,,,T,T,,,,T
858,,,T,T,T,,T,T,T,T,T,T,,T
859,,,,,,,,,,,T,T,,
860,,T,,,T,,,T,T,T,,T,,T
861,,,,,,,,,,T,T,T,,
862,,,,,,,,,,,T,T,,
863,,T,T,,,T,,,T,T,T,T,,
864,,T,,,T,,,,,,T,T,,T
865,,,,,,,,,,,,,,
866,T,,T,,,,T,T,T,T,,T,,
867,,,,,,,,,,,T,T,,T
868,,T,,,T,,,,T,T,,,T,
869,,,,,,,,,,,,,T,
870,,T,,,,T,,,,,,,T,
871,,,,,,,,,,,T,,,T
872,,,,,T,,,T,,,,T,T,T
873,,T,,,,,,,,,T,T,,T
874,,,,,,,,,,,T,,T,T
875,,,,,T,,,,,,,,,T
876,,,,,T,,,,,,T,T,T,T
877,,,,,T,,,,,,T,,,T
878,,,,,,,T,,,,T,,,
879,,T,,,,T,,,,T,T,T,T,
880,,T,,,,,,,,,,,T,T
881,,,,,T,,,,,,,,,T
882,,,,,,,,,,,T,,T,T
883,,,,,,,,,,,,,T,
884,,,,,,,,T,,,,T,T,T
885,,T,,,T,,,,,,T,T,,
886,,,,,,,,,,,T,T,T,
887,,T,,,,,,,,,T,T,,
888,,,,,,,,,,,T,T,,
889,,,,,,,,,,,T,,,T
890,T,T,T,T,,,,,T,T,,,T,
891,,T,,,,,,,T,T,,,,
892,,,,,,,,,,,,,,T
893,,,T,T,,,T,T,,,,,T,
894,,T,,,,,,,,,T,T,,
895,,,,,,,,,,,,,T,
896,,,,,T,,,T,,,T,,,T
897,,T,T,,,,,,,,,,,T
898,,,,,T,,,,,,T,T,,
899,,T,,,,,,,T,T,T,T,,T
900,,,,,,,,,,,T,,T,
901,,,,,,,,,,,T,T,,T
902,,,,,,,,,,T,T,T,,
903,,,T,,,,,T,,,,T,T,
904,,,T,,,,,,,,,,,T
905,,T,,,,,,,,T,T,T,,T
906,,T,,,,,,,,,T,T,,T
907,,T,T,T,,,,,T,,T,T,,T
908,,,,,,,,,T,T,T,T,,
909,,T,,,,,,,,,T,T,,
910,,,,,T,,,,T,T,T,T,,
911,,,T,T,,,,T,,,T,,T,
912,,,,,,,,,,T,T,T,,T
913,,,T,T,T,,,,T,T,,,,
914,,T,,,,,,,,,T,,,
915,,,,,T,,T,T,,,T,T,,
916,,,,,,,,,,,T,T,,
917,,,,,,,,,,T,T,T,,
918,,T,,,T,,,T,T,T,,T,,
919,,T,,,,,,,,,,,,
920,,,,,,,,,,,,,,T
921,,,T,,T,,,,,,T,,,T
922,,,T,,,,,,T,T,,,,
923,,,,,,,,,,,,,T,
924,,,,,,,,,T,T,,,,T
925,,T,,,,,,,T,T,T,T,,
926,,T,,,,,,,T,T,T,,,
927,,,,,,,T,T,,T,,,,T
928,,,,,,,T,,T,T,T,,,
929,,T,T,T,,,,T,,,T,,,T
930,,,,,T,,,,,,,,,T
931,,,,,,,,,,,,,,
932,,,,,,T,,,,,,,T,T
933,,T,,,T,,,,T,T,T,T,,T
934,,,,,,,,,,,T,T,,T
935,,,,,,,,T,,,T,,,
936,,,,,,,,,,,T,T,,
937,,,,,T,,,,T,T,T,T,,
938,,,,,,,,,T,T,T,,,
939,,,,,,,,,T,T,T,T,T,
940,,,,,,,,,,,T,,,
941,,,,,,,,,,,,,T,T
942,,,T,T,,,,,,,,,,
943,,,,,T,,,,,,T,,,T
944,,,,,,,T,T,,,T,T,,
945,,T,,,T,,T,,,,,T,,T
946,,,T,T,T,,,T,T,T,,,,T
947,,,,,T,,,,,,,,,T
948,,,,,,,,,T,T,T,T,T,T
949,,T,,,,,,,,,,,,
950,,,,,,,,,,,T,T,,
951,,T,,,T,,,,,,T,T,T,T
952,,T,,,,,,,T,T,T,T,,
953,,,,,,,,,,,T,,,
954,,,,,,,,,,,,,,T
955,,,,,T,,,,,,T,,,T
956,,T,,,,,,,,,,,,
957,T,,,,,,,,,,,,T,T
958,,,,,,,,,T,T,,,T,
959,,,T,,,,,,T,T,,,,
960,,,,,,,,,,,T,T,T,
961,,,,,,,,,T,T,T,T,T,
962,,T,T,,,,,,,,,,,
963,,,T,T,,,T,T,,,,,,
964,,T,,,,,,,,,,,,
965,,,,,,,,,,,,,,
966,,,T,,,,,,,,,,T,
967,T,,,,,,,,T,T,T,,,T
968,,,,,,,,,,,,,T,
969,,,,,,,,,T,T,,,,
970,,,,,,,,,,,,,,
971,,,,,,,,,,,,,,
972,,,,,,,,,,,T,,,T
973,,,,,,,,,,,,,,T
974,,,,,,,,,,,T,T,,
975,,,,,,,,T,,T,,T,,T
976,,T,,,,,,,,,T,T,,
977,,,T,T,,,,,T,T,,,,T
978,,,,,,,,,,,T,T,,
979,,,,,,,,T,T,,,T,,
980,,,,,,,,,,,,,T,
981,,,T,,,,T,,T,T,,T,,
982,,,,,,,,,,,,,T,
983,,,T,T,,,T,T,,,,,,
984,,,T,T,,,,,,,,,,
985,,T,,,,,,T,,,,T,,
986,,,,,T,,,,,,,,,T
987,T,T,,,T,,,,T,,T,T,,
988,,,T,,,,,T,T,T,T,,T,
989,,,,,,,,,,,T,T,,
990,,,,,,,,,T,T,T,T,,
991,T,,T,,,,,,T,T,,,,T
992,,,,,,,,,,,,,T,T
993,,,,,,,,,,,,,T,
994,,,,,T,,,T,T,T,T,,,T
995,,T,,,,,,,T,T,T,T,,
996,,,,,,,,,,,,,,
997,,,,,,,,,,,T,T,,
998,,T,T,T,T,,,T,,,T,,T,T
999,T,T,,,T,,,,T,T,,,T,T
1000,,,,,T,,T,T,,T,,,,T
